beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.5;0.40167899163508075;18333;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18311.200686429656;-327.63671119636524;0.1305173572975774;1;101;0.5;0.18488225992769003;18333;2020-02-17;1
0.5;0.4213118685550927;18333;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18309.36348898184;-327.7372287767503;0.10451751786483261;2;102;0.5;0.5858003050088882;18333;2020-02-17;1
0.5;0.4118615146163889;18333;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18311.521057963728;-327.4075230386821;0.12212782220664632;3;103;0.5;0.6062682976480573;18333;2020-02-17;1
0.5;0.42094861523255034;18333;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18306.939754097726;-327.65471289948243;0.12580888031897114;4;104;0.5;0.46629524137824774;18333;2020-02-17;1
0.5;0.3863148278709791;18333;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18317.43913245367;-327.73338308801016;0.19478053960024494;5;105;0.5;0.5074782031588256;18333;2020-02-17;1
0.5;0.3875245316954545;18333;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18307.18347830036;-327.92012054752513;0.16229692583403285;6;106;0.5;0.06936091580428183;18333;2020-02-17;1
0.5;0.3619272264937829;18333;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18305.345471061326;-327.8242049519541;0.14118759647995352;7;107;0.5;0.25403373106382787;18333;2020-02-17;1
0.5;0.4921335137978269;18333;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18313.40633908504;-328.45665367205146;0.11385930241872315;8;108;0.5;0.6831100566778332;18333;2020-02-17;1
0.5;0.3754378636996461;18333;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18310.761354667087;-327.5033660292441;0.266178556021725;9;109;0.5;0.8228963147848845;18333;2020-02-17;1
0.5;0.44727842122788997;18333;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18310.254530619855;-327.76095258405377;0.18681962001063399;10;110;0.5;0.8775213886983693;18333;2020-02-17;1
