beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.1;0.3703959514891031;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;19.836425022298297;18312;-351.3928110703525;1.5458853915816733;1;335915429;0.1;0.18488225992769003;18344;18312;1
0.1;0.4409588759515813;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;16.351678327306285;18312;-353.5882941736492;1.1729186179165085;2;335915430;0.1;0.5858003050088882;18344;18312;1
0.1;0.3013279176047498;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;9.544821799486252;18312;-350.19455111873856;6.037531155633322;3;335915431;0.1;0.6062682976480573;18344;18312;1
0.1;0.3061737732383629;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3.7453636020544;18312;-356.77276710002667;1.310128882026477;4;335915432;0.1;0.46629524137824774;18344;18312;1
0.1;0.3287325468865143;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;12.03495290627974;18312;-356.3124270034455;0.3242247612699327;5;335915433;0.1;0.5074782031588256;18344;18312;1
0.1;0.32724869382712574;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;0.8945339651821235;18312;-361.0065488848158;0.7102011468723112;6;335915434;0.1;0.06936091580428183;18344;18312;1
0.1;0.30507524483180043;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;12.224000783237601;18312;-355.1510681769125;0.6946085110313004;7;335915435;0.1;0.25403373106382787;18344;18312;1
0.1;0.24898815037611674;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;23.769315834349253;18312;-353.9072086130201;2.113183796013094;8;335915436;0.1;0.6831100566778332;18344;18312;1
0.1;0.1810686978934139;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;12.107136808240536;18312;-361.21501257789515;0.8030685251882863;9;335915437;0.1;0.8228963147848845;18344;18312;1
0.1;0.2653068800519369;18344;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;11.097298081999659;18312;-358.5924107074756;0.3259190943768273;10;335915438;0.1;0.8775213886983693;18344;18312;1
