beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.5;0.26510659459457003;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18308.009596935837;-323.10948404906526;0.20178448675505178;1;101;0.5;0.18488225992769003;18342;2020-02-17;1
0.5;0.23396398503672175;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18319.79720157144;-323.22858079900135;0.10535246265363142;2;102;0.5;0.5858003050088882;18342;2020-02-17;1
0.5;0.2997308615987177;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18316.837416628525;-322.60571929088627;0.1150931245055822;3;103;0.5;0.6062682976480573;18342;2020-02-17;1
0.5;0.27231983911319546;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18306.17646116774;-323.3731926464178;0.07569031278667966;4;104;0.5;0.46629524137824774;18342;2020-02-17;1
0.5;0.26018909375432725;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18327.131507084625;-323.2816143331557;0.25831747497707847;5;105;0.5;0.5074782031588256;18342;2020-02-17;1
0.5;0.23132380011742346;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18315.533143733282;-323.5224541679991;0.08725993427514611;6;106;0.5;0.06936091580428183;18342;2020-02-17;1
0.5;0.25687945144904517;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18309.6852175454;-323.14573792487016;0.1280919996708348;7;107;0.5;0.25403373106382787;18342;2020-02-17;1
0.5;0.2753418568592896;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18315.44155562707;-322.6787900649536;0.15501697029559072;8;108;0.5;0.6831100566778332;18342;2020-02-17;1
0.5;0.19125224494096849;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18322.356100713194;-325.24044929668037;0.12999313425596357;9;109;0.5;0.8228963147848845;18342;2020-02-17;1
0.5;0.23166918321910107;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18315.40420316495;-323.3860755437693;0.08557654630656054;10;110;0.5;0.8775213886983693;18342;2020-02-17;1
0.5;0.24684889219013129;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18318.555302281686;-323.10919617518647;0.13025348341013931;1;401;0.5;0.16804152633994818;18342;2020-02-20;1
0.5;0.2082954823654828;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18305.641943881994;-324.5265239259967;0.14795972126088075;2;402;0.5;0.6062682976480573;18342;2020-02-20;1
0.5;0.2935362519215782;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18320.15046003472;-322.862838991254;0.12803378386516415;3;403;0.5;0.2216013972647488;18342;2020-02-20;1
0.5;0.3011796074911137;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18322.250481755713;-323.39121587025255;0.11520672755888377;4;404;0.5;0.06936091580428183;18342;2020-02-20;1
0.5;0.26741656083063864;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18315.05160311476;-322.7096671458951;0.0917635698091606;5;405;0.5;0.6021140441298485;18342;2020-02-20;1
0.5;0.3212562104266841;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18316.94850624615;-323.0993685540729;0.0989750612915311;6;406;0.5;0.8228963147848845;18342;2020-02-20;1
0.5;0.3046536400326837;18342;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18313.406928281485;-323.0567003916616;0.10317347037670739;7;407;0.5;0.7861149271484464;18342;2020-02-20;1
