beta,alpha,gamma,delta,epsilon,psi,kappa1,kappa2,kappa3,omega,Ze,Zes,Zea,Zis,Zia,Zrp,v,phi,mu,N_0,E_init,t_init,loglik,loglik.se,rep,seed,start_beta,start_Einit,start_tinit
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,2150.319932006441,18319,-397.4302719743924,0.6550573282363048,1,1000100,0.01,1,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1877.0399145954268,18319,-396.00346395643487,0.7355100198159247,2,2000100,0.01,1,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,52.72227737565293,18319,-476.91809059125063,0.7789229438354803,3,3000100,0.01,1,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,430.7581520159669,18319,-398.2169874814823,0.29461607007977236,4,4000100,0.01,1,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,9.362977974966189,18319,-507.9112791638053,3.456814828016494,5,5000100,0.01,1,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,11.49820993883186,18319,-501.6583741957415,2.0183796251332153,6,6000100,0.01,1,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,546.979695922084,18319,-396.0471445734682,1.0858218525418029,7,7000100,0.01,1,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,48.20464470803954,18319,-480.285703760796,0.9242595280695719,8,8000100,0.01,1,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,875.6135162786675,18319,-398.976277949598,0.19232189940518157,9,9000100,0.01,1,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,212.71803622623034,18319,-422.19114031977693,0.7677357767713662,10,10000100,0.01,1,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,477.77350004959203,18319,-398.2762877676869,0.18599586252206096,1,1001000,0.01,10,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,15.620303384246228,18319,-491.8588231073673,5.540998970834013,2,2001000,0.01,10,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,23.173005738399983,18319,-488.9100096869746,2.566342635151266,3,3001000,0.01,10,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,2846.3957329294944,18319,-397.95423978371593,0.46290542982150373,4,4001000,0.01,10,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,46.49290279602396,18319,-475.4027050825529,0.8315214440983335,5,5001000,0.01,10,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,359.74055208777503,18319,-398.25640773205964,0.3401696789904757,6,6001000,0.01,10,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,34.669048387856016,18319,-483.38001433920493,1.4712163564435572,7,7001000,0.01,10,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,3.3013232836614788,18319,-513.0765639830564,1.5480567927313342,8,8001000,0.01,10,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,986.9757695756516,18319,-398.41559722677783,0.8664198181901238,9,9001000,0.01,10,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,644.5959265718697,18319,-397.04758099966426,0.46690491332588585,10,10001000,0.01,10,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1285.824625372926,18319,-396.95186539268565,1.5697996552605598,1,1001500,0.01,15,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,744.4182372340223,18319,-398.937104488211,0.40249329955855834,2,2001500,0.01,15,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,2595.2753146979294,18319,-398.9389316285058,0.3709861890509909,3,3001500,0.01,15,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,90.98240409818499,18319,-456.5332136693154,0.6927665875798864,4,4001500,0.01,15,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1836.496318665413,18319,-398.4879953319929,0.3413499361822209,5,5001500,0.01,15,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,57.69996701017935,18319,-475.1170255584522,1.2858902874042328,6,6001500,0.01,15,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,32.85200679440122,18319,-487.66582610922853,0.9351596199729157,7,7001500,0.01,15,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,58.56184809399678,18319,-470.6066928674714,3.598831977360103,8,8001500,0.01,15,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,544.5171807370092,18319,-399.02358290910405,0.7426539805246005,9,9001500,0.01,15,18319
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,73.03639427432768,18319,-467.9448046819582,0.8244368508221191,10,10001500,0.01,15,18319
