beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.5;0.211775168;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3;18319.41471;-320.8046327;0.066682491;1;101;0.5;0.18488226;18344;17/02/2020;3
0.5;0.288572042;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3;18315.01194;-321.4240788;0.057461014;2;102;0.5;0.585800305;18344;17/02/2020;3
0.5;0.260095304;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3;18313.61642;-321.2072966;0.05908938;3;103;0.5;0.606268298;18344;17/02/2020;3
0.5;0.255015488;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3;18310.84687;-321.774463;0.054613741;4;104;0.5;0.466295241;18344;17/02/2020;3
0.5;0.189048536;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3;18310.23137;-322.7877772;0.082257329;5;105;0.5;0.507478203;18344;17/02/2020;3
0.5;0.293418252;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3;18322.00383;-320.6641798;0.051185297;6;106;0.5;0.069360916;18344;17/02/2020;3
0.5;0.248246752;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3;18322.02089;-320.0984473;0.051700539;7;107;0.5;0.254033731;18344;17/02/2020;3
0.5;0.245616362;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3;18317.47282;-320.8760977;0.060783947;8;108;0.5;0.683110057;18344;17/02/2020;3
0.5;0.196316357;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3;18316.16199;-321.5596251;0.121429016;9;109;0.5;0.822896315;18344;17/02/2020;3
0.5;0.333031334;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3;18312.15886;-322.8276824;0.057715519;10;110;0.5;0.877521389;18344;17/02/2020;3
0.5;0.263510258;18344;0.294117647;0.434782609;0.142857143;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;3;18323.50336;-319.98193;0.071076933;1;401;0.5;0.168041526;18344;20/02/2020;3
