beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.5;0.39882383639115565;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18307.07162637518;-326.49419372213504;0.1453030335428149;1;101;0.5;0.18488225992769003;18338;2020-02-17;1
0.5;0.29435715330339846;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18307.48698562381;-326.9004198364067;0.28648223091356695;2;102;0.5;0.5858003050088882;18338;2020-02-17;1
0.5;0.42411855060793235;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18315.730872557724;-326.50407410613514;0.2110395139637651;3;103;0.5;0.6062682976480573;18338;2020-02-17;1
0.5;0.3316521228572359;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18318.195662188882;-325.9298913204801;0.3658952943121865;4;104;0.5;0.46629524137824774;18338;2020-02-17;1
0.5;0.31601768034961114;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18310.68042308567;-326.7131317268233;0.1653669578639144;5;105;0.5;0.5074782031588256;18338;2020-02-17;1
0.5;0.38408912658492544;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18313.088241608893;-326.02991935497744;0.2428626801459524;6;106;0.5;0.06936091580428183;18338;2020-02-17;1
0.5;0.30429500244710606;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18301.694952637332;-326.85714452279893;0.3205395999945466;7;107;0.5;0.25403373106382787;18338;2020-02-17;1
0.5;0.30461930659598063;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18305.19988281163;-327.06200814165277;0.1774357997843322;8;108;0.5;0.6831100566778332;18338;2020-02-17;1
0.5;0.3373994496293715;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18319.518521034606;-326.12088395807393;0.28479455203958254;9;109;0.5;0.8228963147848845;18338;2020-02-17;1
0.5;0.3683594405732571;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18309.858453942965;-326.4365665098352;0.08840217620747245;10;110;0.5;0.8775213886983693;18338;2020-02-17;1
0.5;0.32406914537439835;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18321.98032236467;-326.72749945329053;0.2107167386813842;1;401;0.5;0.16804152633994818;18338;2020-02-20;1
0.5;0.5179763166420378;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18310.2232559493;-328.91540191429664;0.11015408044107827;2;402;0.5;0.6062682976480573;18338;2020-02-20;1
0.5;0.4146361177699415;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18311.633094504472;-326.72691407991687;0.16727197238522273;3;403;0.5;0.2216013972647488;18338;2020-02-20;1
0.5;0.39898084991920507;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18323.016229187313;-327.00877531453824;0.12512158922855268;4;404;0.5;0.06936091580428183;18338;2020-02-20;1
0.5;0.38238574860056374;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18312.93827962017;-326.10008512719224;0.11022035185911704;5;405;0.5;0.6021140441298485;18338;2020-02-20;1
0.5;0.307540633088581;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18312.34765229628;-325.99575869298843;0.44855137915633875;6;406;0.5;0.8228963147848845;18338;2020-02-20;1
0.5;0.3098825701117168;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18320.687834227214;-325.7211297743655;0.5769023994389177;7;407;0.5;0.7861149271484464;18338;2020-02-20;1
0.5;0.2865616112526989;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18308.071714660804;-326.2114628089104;1.091547929542965;8;408;0.5;0.29257395793683827;18338;2020-02-20;1
0.5;0.3452739037340812;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18311.40143663989;-326.06711181970485;0.20381245658447583;9;409;0.5;0.9717502307612449;18338;2020-02-20;1
0.5;0.49540997500784817;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18314.519899752777;-328.27257362169854;0.13263150906939558;10;410;0.5;0.09878281853161752;18338;2020-02-20;1
0.5;0.3289538032996828;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18322.148677463152;-326.4784181844517;0.2594212810627037;1;901;0.5;0.5858003050088882;18338;2020-02-23;1
0.5;0.28114605807231285;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18317.079618518303;-326.68895669258075;0.8165066143623751;2;902;0.5;0.46629524137824774;18338;2020-02-23;1
0.5;0.3720228190659972;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18320.08830181297;-326.19990162095354;0.18509330985380665;3;903;0.5;0.06936091580428183;18338;2020-02-23;1
0.5;0.38882037371532147;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18316.210471189243;-326.1959153993839;0.1691879328313762;4;904;0.5;0.6831100566778332;18338;2020-02-23;1
0.5;0.3194239407702164;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18317.32396993798;-326.15622382122115;0.15520286800163968;5;905;0.5;0.8775213886983693;18338;2020-02-23;1
0.5;0.3738034045083891;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18313.727168254878;-325.9535553066695;0.084482526370685;6;906;0.5;0.29257395793683827;18338;2020-02-23;1
0.5;0.013624748720962584;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18317.753878052146;-416.9810139987906;1.307050408107925;7;907;0.5;0.028575305361300707;18338;2020-02-23;1
0.5;0.41068711128011276;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18317.12927194207;-326.5841758819795;0.10678995558174664;8;908;0.5;0.505840522935614;18338;2020-02-23;1
0.5;0.34356809958674506;18338;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18319.616717057565;-326.31623950946994;0.24745780588161054;9;909;0.5;0.6223776626866311;18338;2020-02-23;1
