beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.5;0.21325772360429548;18348;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18317.156503576;-319.04839802003283;0.03994244215715539;1;101;0.5;0.18488225992769003;18348;2020-02-17;1
0.5;0.21973369115406777;18348;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18317.55927489036;-319.1409365031765;0.05538064562889214;2;102;0.5;0.5858003050088882;18348;2020-02-17;1
0.5;0.2737672913554674;18348;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18312.132642692435;-320.4376114380226;0.030447038864187394;3;103;0.5;0.6062682976480573;18348;2020-02-17;1
0.5;0.14003196418326147;18348;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18310.534621424522;-320.1084942466706;0.02944422358874319;4;104;0.5;0.46629524137824774;18348;2020-02-17;1
0.5;0.27163827641158006;18348;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18312.92300175267;-320.29252805179965;0.03969565048822494;5;105;0.5;0.5074782031588256;18348;2020-02-17;1
0.5;0.16076591705713325;18348;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18302.223636879604;-320.48342485586016;0.03982163428543915;6;106;0.5;0.06936091580428183;18348;2020-02-17;1
0.5;0.20556652701038275;18348;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18315.602876582067;-319.01873173086494;0.02784192216453855;7;107;0.5;0.25403373106382787;18348;2020-02-17;1
0.5;0.13210114416501634;18348;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18307.832717519155;-320.6180756572654;0.036394269595802414;8;108;0.5;0.6831100566778332;18348;2020-02-17;1
0.5;0.3280171584981512;18348;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18304.636526778344;-322.54307892158477;0.07436657337248291;9;109;0.5;0.8228963147848845;18348;2020-02-17;1
0.5;0.16056367071149955;18348;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18317.807915363748;-319.11594017055086;0.04035068589127146;10;110;0.5;0.8775213886983693;18348;2020-02-17;1
