beta1;beta2;t_inflect;alpha;gamma;delta;epsilon;psi;kappa1;kappa2;kappa3;omega;Ze;Zes;Zea;Zis;Zia;Zrp;v;phi;mu;N_0;E_init;t_init;loglik;loglik.se;rep;seed;start_beta1;start_beta2;start_tinflect;start_tinit;start_Einit
0.5;0.21568503446021947;18346;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18308.477640238318;-319.9197923489628;0.043964968122914956;1;101;0.5;0.18488225992769003;18346;2020-02-17;1
0.5;0.18886521926431887;18346;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18310.547353667163;-319.84528219996616;0.058261277640485824;2;102;0.5;0.5858003050088882;18346;2020-02-17;1
0.5;0.19713754117517482;18346;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18318.028778991076;-319.3896536965557;0.06982653490784667;3;103;0.5;0.6062682976480573;18346;2020-02-17;1
0.5;0.19724359495288918;18346;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18304.132844786356;-320.4061923609668;0.052212430052673495;4;104;0.5;0.46629524137824774;18346;2020-02-17;1
0.5;0.2000824968597675;18346;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18310.873661154626;-319.7992690823743;0.04440294347235786;5;105;0.5;0.5074782031588256;18346;2020-02-17;1
0.5;0.24313943988848413;18346;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18312.196969847762;-319.767106270754;0.049136087007433056;6;106;0.5;0.06936091580428183;18346;2020-02-17;1
0.5;0.20447843622660689;18346;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18307.18678002284;-320.0633729736211;0.04823972064707256;7;107;0.5;0.25403373106382787;18346;2020-02-17;1
0.5;0.22620204615448988;18346;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18314.962367010856;-319.58113277856444;0.05128318967972906;8;108;0.5;0.6831100566778332;18346;2020-02-17;1
0.5;0.21732592593098;18346;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18312.350730071877;-319.57966502005115;0.037575231498516486;9;109;0.5;0.8228963147848845;18346;2020-02-17;1
0.5;0.28492492606982656;18346;0.29411764705882354;0.4347826086956522;0.14285714285714285;0.63;0.7;0.35;1;1;0.04;0.1;0.7;0.7;0.8;0.8;0.3;0.99;0.6;1;226;1;18311.76750164291;-320.5552993509124;0.0257388580309566;10;110;0.5;0.8775213886983693;18346;2020-02-17;1
